finding_id,severity,category,affected_url,affected_file,evidence,recommendation,confidence,verification_type
TECH-001,Medium,Sitemap coverage,"18 omitted service and case-study routes","sitemap.xml","164 unique sitemap entries versus 182 deployable HTML pages; 18 index-follow routes are absent, including 4 English services, 5 English case studies, and their Spanish counterparts","Decide whether the 18 routes are intended organic targets; if yes, include them in the sitemap using the approved URL set","Confirmed","Repository parse and route inventory"
TECH-002,Medium,Internal linking,"18 travel-commercial service and case-study routes","HTML anchor graph","164 routes are reachable from /; 18 routes are unreachable from the homepage although each has at least one inlink inside an isolated cluster","Connect the intended travel-commercial cluster to a reviewed section/index path and distribute contextual links; do not change URLs without review","Confirmed","Repository crawl graph"
TECH-003,Medium,Sitemap freshness,"24 English FMCG guides","sitemap.xml and Article JSON-LD","24 FMCG pages expose Article dateModified 2026-08-17 while sitemap lastmod values remain 2026-08-09 through 2026-08-13","Define a meaningful-change date policy and align sitemap lastmod with the same source of truth; avoid deployment-date stamping","Confirmed","Repository cross-check"
TECH-004,Medium,Broken internal links,"6 Spanish blog routes","es/blog/*.html","Six Spanish articles each contain ../../legal/ and ../../privacy/ links resolving to nonexistent /es/legal/ and /es/privacy/ routes; 12 broken references total","Replace with the approved root legal and privacy routes, then add automated route-resolution validation","Confirmed","Repository link resolver"
TECH-005,Medium,Structured data,"18 case-study routes","case-study HTML files","18 Article JSON-LD blocks occur on case-study pages; 16 omit author and 2 FMCG case pages omit publisher","Choose a reviewed case-study schema model and apply consistent supported author/publisher properties without inventing identities","Confirmed","Repository JSON-LD parse and consistency check"
TECH-006,Medium,Deployment hygiene,"Potentially public Markdown and planning paths","vercel.json; .vercelignore; study-cases/travel-retail-distribution-strategy/draft.md","Root outputDirectory is . and .vercelignore does not exclude general Markdown/docs; an unpublished draft exists in a deployable content directory","Inspect the deployment artifact and live paths; exclude unpublished drafts and internal documentation if they are not intended for public access","Strong","Repository configuration; live exposure unverified"
TECH-007,Low,Hreflang coverage,"/es/casos-de-estudio/alcohol-espana/; /study-cases/ees-airport-commercial-strategy/","HTML hreflang and sitemap alternates","Two language-only routes have reduced alternate sets because no counterpart exists; no invalid or non-reciprocal hreflang pair was found","Create counterparts only if strategically required; otherwise document language-only coverage and keep the technically valid reduced sets","Confirmed","Repository hreflang reciprocity check"
TECH-008,Low,Navigation consistency,"37 Offers routes; 39 Team routes; 5 Study cases routes","Older travel/editorial HTML templates","Legacy labels differ from newer Services, About, and Case studies labels while links still resolve","Normalize labels in a reviewed template pass and preserve valid destinations","Confirmed","Repository text and link audit"
TECH-009,Low,Social metadata,"178 pages without og:image; 27 without twitter:card; 6 utility pages without core OG fields","HTML metadata","Core OG fields exist on 176/182 pages; og:image exists on 4/182; twitter:card is missing on 27 pages","Add reviewed social defaults and page-specific images to article, service, and case-study templates; deprioritize utilities","Confirmed","Repository metadata audit"
TECH-010,Low,Image performance,"160 meaningful images without dimensions; 114 without loading attribute","HTML img elements","351 img elements total; 164 meaningful images identified, with dimensions or loading attributes incomplete","Add component-level dimensions and appropriate loading behavior after measuring layout and loading impact","Confirmed","Repository image audit"
TECH-011,Low,Title and description hygiene,"/; /about/; 5 long-description routes","HTML title and meta description tags","All titles/descriptions exist and titles are unique; homepage and About share a description; five descriptions exceed 170 characters","Differentiate the homepage and About descriptions and tighten the five long descriptions while preserving intent","Confirmed","Repository metadata audit"
TECH-012,Low,Error handling,"All routes; especially missing custom 404","Repository error-page surface","No 404.html exists; platform-level 404 behavior and soft-404 handling cannot be inferred from source","Verify live 404 status and body behavior; add a custom page only if the approved deployment architecture requires it","Uncertain","Repository presence check; live status unverified"
TECH-013,Low,Performance,"Most pages loading styles.css","styles.css","styles.css is approximately 144 KB and uses a Google Fonts @import, creating a render-blocking dependency risk; no lab or field metrics were collected","Measure Core Web Vitals and critical rendering path, then reduce CSS/font blocking based on evidence","Strong","Repository asset inspection; performance metrics unavailable"
TECH-014,Informational,Breadcrumbs,"18 pages with breadcrumb-like UI","Service and case-study HTML; JSON-LD","No BreadcrumbList JSON-LD found; visible breadcrumb-like patterns occur on 18 pages; core FMCG routes are shallow","Consider structured breadcrumbs only after confirming the desired information architecture; do not add sitewide markup mechanically","Confirmed","Repository JSON-LD and DOM audit"
TECH-015,Informational,Live parity,"Homepage, representative article, robots, sitemap, service and article endpoints","Live host and repository","Homepage/article retrieval succeeded through web, but direct endpoint checks returned safety or DNS errors and available snapshots were inconsistent","Run a controlled browser/curl/CI verification against the deployed artifact before implementation","Uncertain","Partial live retrieval; response-level checks incomplete"
